post_id,post_text,category,react_likes,react_love,react_haha,react_sad,react_wow,react_angry,number of comments,positive sent,negative sent,neutral sent,anger,fear,sad,happy,neutral,avg words in comments,median words in comments
25604775729_10156807275445730,Wieder hat ein Autofahrer das Ende eines Staus übersehen - wieder sind die Folgen katastrophal.,Alltag&Skurriles,69,0,2,230,6,53,70,20.0,54.285714285714285,25.714285714285715,22.857142857142858,5.714285714285714,11.428571428571429,18.571428571428573,41.42857142857143,24.457142857142856,19.0
25604775729_10156807308220730,Er sagte  er habe Hunger  seit Tagen nichts gegessen. Die Frau hat Mitleid  kauft ihm etwas. Dann reißt der Mann plötzlich ihre 13-jährige Tochter an sich …,Straftat,125,1,5,36,6,533,157,28.662420382165607,26.11464968152866,45.22292993630573,16.56050955414013,6.369426751592357,16.56050955414013,21.656050955414013,38.853503184713375,12.35031847133758,8.0
25604775729_10156807370585730,Es geht um die Darstellung der Einschränkungen …,Gesellschaft/Ethik/Politik,170,3,281,5,13,122,387,24.8062015503876,38.24289405684755,36.950904392764855,22.997416020671835,6.718346253229974,4.909560723514212,18.863049095607234,46.51162790697674,14.37984496124031,11.0
25604775729_10156807399080730,In keinem europaweit getestetem Land wurden so viele Rückstände der Droge gefunden!,Alltag&Skurriles,165,2,32,12,43,13,88,15.909090909090908,20.454545454545453,63.63636363636363,12.5,0.0,2.272727272727273,28.40909090909091,56.81818181818182,8.125,7.0
25604775729_10156807402275730,Jetzt bekam er sein Urteil:,Alltag&Skurriles,115,1,30,3,5,215,193,24.870466321243523,43.005181347150256,32.12435233160622,42.487046632124354,10.362694300518134,6.217616580310881,9.32642487046632,31.60621761658031,15.461139896373057,11.0
25604775729_10156807424585730,Am Mittwoch übergab Der Bachelor Daniel Völz (32) seine letzte Rose an Kristina (24). Im Kitsch-Finale schwor er sogar: „Ich liebe dich“…,Alltag&Skurriles,59,3,26,0,0,1,56,23.214285714285715,30.357142857142858,46.42857142857143,16.071428571428573,5.357142857142857,3.5714285714285716,39.285714285714285,35.714285714285715,12.339285714285714,9.0
25604775729_10156807541595730,Und ihre kleinen Söhne mussten alles mitansehen …,Straftat,215,0,3,116,7,772,209,23.444976076555022,45.45454545454545,31.10047846889952,36.36363636363637,9.090909090909092,10.526315789473685,8.133971291866029,35.88516746411483,16.636363636363637,9.0
25604775729_10156807754805730,Noch weiß niemand  wo die Körperteile herkommen. Aber es gibt Theorien: 😱,Alltag&Skurriles,360,1,19,100,420,11,212,9.90566037735849,29.245283018867923,60.84905660377358,9.90566037735849,8.962264150943396,5.660377358490566,25.943396226415093,49.528301886792455,7.589622641509434,5.0
25604775729_10156807764525730,Manchmal scheint Alexa ein wahres Eigenleben zu führen. Jetzt kam raus  dass der Lautsprecher nachts anfängt wie eine Hexe zu lachen – und so seine Besitzer ordentlich verschreckt! 😱,Alltag&Skurriles,132,0,147,0,13,3,80,20.0,17.5,62.5,3.75,2.5,1.25,46.25,46.25,8.05,5.5
25604775729_10156807804280730,Stell dir vor  du bist auf hoher See und auf einmal springt ein Hai auf das Boot! Genau DAS ist hier passiert.😱,Alltag&Skurriles,384,5,6,127,152,41,406,16.748768472906406,33.99014778325123,49.26108374384236,19.704433497536947,13.793103448275861,9.852216748768473,15.763546798029557,40.88669950738916,14.366995073891626,8.0
25604775729_10156807814250730,Respekt  wer in einer solchen Situation so reagiert wie dieser Mann!,Straftat,517,15,1,0,120,0,29,37.93103448275862,13.793103448275861,48.275862068965516,6.896551724137931,3.4482758620689653,6.896551724137931,44.827586206896555,37.93103448275862,11.068965517241379,8.0
25604775729_10156807829725730,Ein Paradies – zerstört durch die Mengen an Plastikmüll der Menschen … 😥😫🤨,Alltag&Skurriles,102,0,1,506,16,320,140,20.714285714285715,38.57142857142857,40.714285714285715,23.571428571428573,8.571428571428571,10.714285714285714,15.0,42.142857142857146,15.528571428571428,9.0
25604775729_10156807929160730,Die 56-jährige ist vermutlich selbstmordgefährdet.,Straftat,9,0,0,15,5,0,5,60.0,0.0,40.0,0.0,0.0,0.0,20.0,80.0,5.0,4.0
25604775729_10156808032860730,Die Frau sieht „lebensbedrohende Folgen“ durch den Gewinn!,Gesellschaft/Ethik/Politik,659,14,64,2,97,5,171,30.994152046783626,17.54385964912281,51.461988304093566,8.771929824561404,5.2631578947368425,5.2631578947368425,29.239766081871345,51.461988304093566,11.222222222222221,7.0
25604775729_10156808066075730,Ein Polizist trägt eine 8-Jährige aus der Grundschule. Das Kind wehrt sich  krallt sich an der Dachreling eines Autos fest und schreit um Hilfe ...,Straftat,134,1,2,408,16,789,578,20.761245674740483,54.325259515570934,24.913494809688583,16.608996539792386,16.608996539792386,39.273356401384085,8.823529411764707,18.685121107266436,32.52595155709343,22.0
25604775729_10156808089755730,Sie wollten Crystal und Hasch kaufen  hatten aber kein Geld …,Alltag&Skurriles,75,2,39,5,2,54,73,15.068493150684931,41.0958904109589,43.83561643835616,16.438356164383563,6.8493150684931505,4.109589041095891,34.24657534246575,38.35616438356164,10.246575342465754,8.0
25604775729_10156808122505730,„Ich bin neidisch auf meine Frau  weil sie mit meinem Körper Sex haben kann.“ Ne  is klar … 🤨🙈,Alltag&Skurriles,304,2,649,1,12,4,273,20.146520146520146,21.245421245421245,58.608058608058606,10.989010989010989,2.5641025641025643,5.128205128205129,43.956043956043956,37.362637362637365,7.611721611721611,6.0
25604775729_10156808161105730,Der Grund sollen ihre Outfits sein! sport mehr sport bbc tv sender nimmt schoene sport moderatorin aus dem live programm,Alltag&Skurriles,18,0,4,0,2,0,8,25.0,12.5,62.5,12.5,0.0,0.0,50.0,37.5,4.375,2.5
25604775729_10156808168140730,Es soll sich um 1575 Kilogramm handeln!,Gesellschaft/Ethik/Politik,420,9,38,2,69,7,120,25.0,25.833333333333332,49.166666666666664,17.5,5.0,3.3333333333333335,23.333333333333332,50.833333333333336,9.116666666666667,7.0
25604775729_10156808202865730,Die Silvesternacht 2016/2017 in Köln machte Schlagzeilen – auch wenn es nicht wieder massenhaft Sexualstraftaten von Männergruppen gegen Frauen gab wie an Silvester 2015.,Alltag&Skurriles,83,1,25,4,6,102,235,32.765957446808514,34.8936170212766,32.340425531914896,25.53191489361702,6.382978723404255,11.063829787234043,14.893617021276595,42.12765957446808,23.53191489361702,14.0
25604775729_10156808226245730,Ganz schön spooky … 👻,Alltag&Skurriles,94,8,24,3,9,3,105,23.80952380952381,37.142857142857146,39.04761904761905,28.571428571428573,9.523809523809524,9.523809523809524,29.523809523809526,22.857142857142858,14.247619047619047,8.0
25604775729_10156808245380730,Angeblich will der US-Präsident noch am Donnerstag die angekündigten Strafzölle umsetzen!,Alltag&Skurriles,85,6,35,2,3,72,174,33.333333333333336,37.93103448275862,28.735632183908045,32.18390804597701,5.172413793103448,7.471264367816092,20.689655172413794,34.48275862068966,26.862068965517242,17.0
25604775729_10156808263670730,Mit den Händen konnten die Besucher des Radeberger Blindengartens heimische Tiere ertasten. Doch jetzt sind sie weg! 😡,Gesellschaft/Ethik/Politik,36,0,0,41,4,222,16,25.0,50.0,25.0,18.75,6.25,25.0,6.25,43.75,10.8125,11.5
25604775729_10156808732670730,Der Nordkorea-Diktator und der US-Präsident an einem Tisch –DAS ist mal eine echte Sensation im Korea-Konflikt!,Alltag&Skurriles,154,1,35,1,13,1,117,32.47863247863248,33.333333333333336,34.18803418803419,19.65811965811966,10.256410256410257,2.5641025641025643,33.333333333333336,34.18803418803419,17.085470085470085,12.0
25604775729_10156809510315730,Der Mann parkte auf einem Gehweg und kassierte ein Knöllchen über 38 50 €. Bezahlen wollte er nicht – und forderte kurz darauf von der Sachbearbeiterin 30.000 €  weil sie „den Sachverhalt nicht richtig bearbeitete“.,Gesellschaft/Ethik/Politik,98,2,74,0,9,4,57,31.57894736842105,49.12280701754386,19.29824561403509,33.333333333333336,7.017543859649122,8.771929824561404,17.54385964912281,33.333333333333336,34.666666666666664,20.0
25604775729_10156809516910730,Für Menschen  die lieber Billig-Bus als Bahn fahren  ist dieses Video ein Schock. Immer wieder schaut der Flixbus-Fahrer aufs Handy  statt auf die Straße  der Bus driftet dabei bis auf die Standspur.,Alltag&Skurriles,469,2,31,5,7,107,353,26.062322946175637,45.04249291784703,28.89518413597734,21.813031161473088,9.63172804532578,6.515580736543909,19.26345609065156,42.77620396600567,21.152974504249293,16.0
